0,1,2,3,4,5,6
,2023,,2022,,2021,
,Statutory income tax,Statutory income tax rate,Statutory income tax,Statutory income tax rate,Statutory income tax,Statutory income tax rate
Argentina,80,35.00 %,100,35.00 %,103,35.00 %
Belgium,(12),25.00 %,238,25.00 %,149,25.00 %
Brazil,153,34.00 %,698,34.00 %,943,34.00 %
Canada,470,25.90 %,747,25.90 %,835,25.90 %
France,(116,25.82 %,158,25.82 %,231,25.82 %
Germany,(154),30.30 %,82,30.30 %,134,30.30 %
Italy,3,24.00 %,(14),24.00 %,(8),24.00 %
Kazakhstan,(69),20.00 %,26,20.00 %,149,20.00 %
Liberia,(18),25.00 %,—,25.00 %,16,25.00 %
Luxembourg,806,24.94 %,633,24.94 %,660,24.94 %
Mexico,49,30.00 %,148,30.00 %,238,30.00 %
The Netherlands,(627),25.80 %,(9),25.80 %,(13),25.80 %
Poland,(71),19.00 %,49,19.00 %,155,19.00 %
South Africa,(58),27.00 %,47,27.00 %,136,28.00 %
Spain,(1),25.00 %,26,25.00 %,70,25.00 %
Ukraine,(56),18.00 %,(267),18.00 %,202,18.00 %
United States,83,21.00 %,103,21.00 %,58,21.00 %
Others,(8),,53,,88,
Total,454,,"2,818",,"4,146",
