0,1,2,3,4
,Level 1,Level 2,Level 3,Total
Assets at fair value:,,,,
Investments in equity instruments at FVOCI,996,"—
:unselected:",123,"1,119"
Trade accounts receivable and other subject to TSR programs*,"—
:unselected:","—
:unselected:",206,206
Derivative financial current assets,"—
:unselected:",737,"—
:unselected:",737
Derivative financial non-current assets,"—
:unselected:",835,"—
:unselected:",835
Total assets at fair value,996,"1,572",329,"2,897"
Liabilities at fair value:,:unselected:,,:unselected:,
Derivative financial current liabilities,"—
:unselected:",379,"—
:unselected:",379
Derivative financial non-current liabilities,"—
:unselected:",45,"—
:unselected:",45
Total liabilities at fair value,"—
:unselected:",424,"—
:unselected:",424
