0,1,2,3
Long products,,,
Source: S&P Global Commodity Insights (Platts),Europe medium sections Spot average price per tonne,Europe rebar Spot average price per tonne,Turkish rebar Spot FOB average price per tonne
Q1 2021,€722,€629,$621
Q2 2021,€860,€710,$703
Q3 2021,"€1,039",€826,$691
Q4 2021,€995,€795,$713
,,,
Q1 2022,"€1,172",€928,$795
Q2 2022,"€1,426","€1,220",$808
Q3 2022,"€1,210",€981,$665
Q4 2022,"€1,072",€814,$660
,,,
Q1 2023,€ 964,€ 722,708
Q2 2023,€ 889,€ 649,637
Q3 2023,€ 805,€ 577,569
Q4 2023,€ 766,€ 606,574
