0,1,2
,"Year ended December 31, 2023","Year ended December 31, 2022"
Depreciation and impairment charges:,,
"Land, buildings and improvements",154,133
"Machinery, equipment and others",81,70
Total depreciation and impairment charges,235,203
Other lease related expenses:,,
Interest expense on lease liabilities,55,34
Expenses of short-term leases,93,96
Expenses of leases of low-value assets,81,71
Expenses related to variable lease payments not included in the measurement of lease liabilities,68,87
Additions to right-of-use assets,288,418
Lease payments recorded as reduction of lease liabilities and cash outflow from financing activities,253,185
