0,1,2
Name of Subsidiary,Abbreviation,Country
NAFTA,,
ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,Canada
ArcelorMittal México S.A. de C.V.,ArcelorMittal Mexico,Mexico
ArcelorMittal Long Products Canada G.P.,ArcelorMittal Long Products Canada,Canada
ArcelorMittal Texas HBI LLC,ArcelorMittal Texas HBI,United States of America
"Brazil and neighboring countries (""Brazil"")",,
ArcelorMittal Brasil S.A.,ArcelorMittal Brasil,Brazil
Acindar Industria Argentina de Aceros S.A.,Acindar,Argentina
ArcelorMittal Pecém S.A.1,ArcelorMittal Pecém,Brazil
Europe,,
ArcelorMittal France S.A.S.,ArcelorMittal France,France
ArcelorMittal Belgium N.V.,ArcelorMittal Belgium,Belgium
ArcelorMittal España S.A.,ArcelorMittal España,Spain
ArcelorMittal Flat Carbon Europe S.A.,AMFCE,Luxembourg
ArcelorMittal Poland S.A.,ArcelorMittal Poland,Poland
ArcelorMittal Eisenhüttenstadt GmbH,ArcelorMittal Eisenhüttenstadt,Germany
ArcelorMittal Bremen GmbH,ArcelorMittal Bremen,Germany
ArcelorMittal Méditerranée S.A.S.,ArcelorMittal Méditerranée,France
ArcelorMittal Belval & Differdange S.A.,ArcelorMittal Belval & Differdange,Luxembourg
ArcelorMittal Hamburg GmbH,ArcelorMittal Hamburg,Germany
ArcelorMittal Duisburg GmbH,ArcelorMittal Duisburg,Germany
ArcelorMittal International Luxembourg S.A.,ArcelorMittal International Luxembourg,Luxembourg
"Africa and Commonwealth of Independent States (""ACIS"")",,
ArcelorMittal South Africa Ltd.,ArcelorMittal South Africa,South Africa
JSC ArcelorMittal Temirtau2,ArcelorMittal Temirtau,Kazakhstan
PJSC ArcelorMittal Kryvyi Rih,ArcelorMittal Kryvyi Rih,Ukraine
Mining,,
ArcelorMittal Mining Canada G.P. and ArcelorMittal Infrastructure Canada G.P.,"ArcelorMittal Mines and Infrastructure Canada (""AMMC"")",Canada
ArcelorMittal Liberia Ltd.,ArcelorMittal Liberia,Liberia
