0,1,2,3,4,5
,Executive Office,,,Executive Officers,
2020 Grant,. PSUs with a three year performance period Value at grant 100% of base salary for the Executive Chairman and . the CEO · Vesting conditions:,,,. PSUs with a three year performance period,
,,,,,
,,,,· Vesting conditions,
,,Threshold Target,,Threshold Target,
,TSR/EPS vs. peer group,100% median,≥120% median,TSR/EPS vs. peer group,100% median ≥120% median
,,,,Vesting percentage,50% 100%
,,,,Gap to competition (where 100% target applicable) 100% vesting,
,TSR vs. S&P 500 Vesting percentage,Performance equal to Index 50%,≥Performance equal to Index + 2% p.a. outperformance 100%,Vesting percentage 0% 100%,
,,,,l,
