0,1,2,3,4,5,6,7
,% of Ownership Interest,2023,,2022,,2021,
,,ROM Millions of Tonnes,Product Millions of Tonnes,ROM Millions of Tonnes,Product Millions of Tonnes,ROM Millions of Tonnes,Product Millions of Tonnes
AMMC,85.0,,,,,,
At 100% basis,,65.3,22.4,66.9,24.1,65.6,22.0
At ownership interest (85%),,55.5,19.0,56.9,20.5,55.8,18.7
AML,85.0,,,,,,
At 100% basis,,3.9,3.6,4.3,4.4,4.6,4.2
At ownership interest (85%),,3.3,3.0,3.6,3.8,3.9,3.6
Mining segment at 100% basis,,69.2,26.0,71.2,28.5,70.2,26.2
Mining segment at the ownership interest,,58.8,22.0,60.5,24.3,59.7,22.3
