0,1,2,3,4
,"Year ended December 31, 2023",,,
,Total,Canada,Europe,Others
Change in benefit obligation,,,,
Benefit obligation at beginning of the period,866,455,314,97
Current service cost,27,7,17,3
Interest cost on DBO,46,24,14,8
Past service cost - Plan amendments,6,—,(2),8
Actuarial (gain) loss,64,41,30,(7)
Demographic assumptions,18,18,—,—
Financial assumptions,44,26,19,(1)
Experience adjustment,2,(3),11,(6)
Benefits paid,(75),(29),(35),(11)
Foreign currency exchange rate differences and other movements,37,10,17,10
Benefit obligation at end of the period,971,508,355,108
Change in plan assets,,,,
Fair value of plan assets at beginning of the period,5,—,5,—
Benefits paid,(1),—,(1),—
Fair value of plan assets at end of the period,4,—,4,—
Present value of the wholly or partly funded obligation,(19),—,(19),—
Fair value of plan assets,4,—,4,—
Net present value of the wholly or partly funded obligation,(15),—,(15),—
Present value of the unfunded obligation,(952),(508),(336),(108)
Net amount recognized,(967),(508),(351),(108)
