0,1,2,3,4,5,6,7,8
,"December 31, 2021",,,,,,,
Summarized statements of cash flows,AMSA,Sonasid,AMKR,BBA,Hera Ermac,AMMC,Arceo,AM Liberia
Net cash provided by / (used in) operating activities,180,23,778,90,5,"2,310",8,214
Net cash provided by / (used in) investing activities,(85),(6),(313),(5),8,(844),19,(78)
Net cash provided by / (used in) financing activities,(49),(4),(449),(72),(13),"(1,375)",(5),(135)
Impact of currency movements on cash,(16),(6),1,(2),—,—,(6),—
Cash and cash equivalents:,,,,,,,,
At the beginning of the year,173,92,31,20,—,125,73,1
At the end of the year,203,99,48,31,—,216,89,2
Dividend to non-controlling interests,—,(2),(17),(22),—,(202),(3),—
