0,1,2,3,4,5
Initial value,Nominal amount of outstanding value,Date of issuance,Repayment date,Interest rate 1,Issued at
€250 million Unsecured Notes,€132 million,"Jul 4, 2019","Jan 17, 2024",2.25 %,105.59 %
€750 million Unsecured Notes,€397 million,"Jan 17, 2019","Jan 17, 2024",2.25 %,99.72 %
750 Unsecured Notes,290,"Jul 16, 2019","Jul 16, 2024",3.60 %,99.86 %
500 Unsecured Notes,184,"Jun 1, 2015","Jun 1, 2025",6.13 %,100.00 %
€750 million Unsecured Notes,€750 million,"Nov 19, 2019","Nov 19, 2025",1.75 %,99.41 %
750 Unsecured Notes,401,"Mar 11, 2019","Mar 11, 2026",4.55 %,99.72 %
€600 million Unsecured Notes,€600 million,"Sep 26, 2022","Sep 28, 2026",4.88 %,99.65 %
1.2 billion Unsecured Bonds,1.2 Billion,"Nov 29, 2022","Nov 29, 2027",6.55 %,99.91 %
500 Unsecured Notes,500,"Jul 16, 2019","Jul 16, 2029",4.25 %,99.00 %
1.0 billion Unsecured Bonds,1.0 Billion,"Nov 29, 2022","Nov 29, 2032",6.80 %,99.37 %
1.0 billion Unsecured Bonds,457,"Oct 8, 2009","Oct 15, 2039",7.00 %,95.20 %
500 Unsecured Bonds,229,"Aug 5, 2010","Oct 15, 2039",7.00 %,104.84 %
1.0 billion Unsecured Notes,434,"Mar 7, 2011","Mar 1, 2041",6.75 %,99.18 %
