0,1,2,3,4,5
Associates,"December 31, 2021",,,,
,China Oriental,DHS Group,Gonvarri Steel Industries,Baffinland 6,Total
Financial statements reporting date,,"September 30, 2021","September 30, 2021","December 31, 2021",
,"June 30, 2021",,,,
Place of incorporation and operation1,Bermuda,Germany,Spain,Canada,
Principal Activity,Iron and steel manufacturing,Steel manufacturing,Steel manufacturing,Extraction of iron ore 5,
"Ownership and voting rights at December 31, 2021",37.00 %,33.43 %,35.00 %,25.23 %,
Current assets,"4,636","1,364","2,840",479,"9,319"
Non-current assets,"2,978","2,668","1,797","10,790","18,233"
Current liabilities,"3,571",472,"1,568",477,"6,088"
Non-current liabilities,533,"1,107",716,"3,365","5,721"
Non-controlling interests,88,103,415,—,606
Net assets attributable to equity holders of the parent,"3,422","2,350","1,938","7,427","15,137"
Company's share of net assets,"1,266",786,678,"1,874","4,604"
Adjustments for differences in accounting policies and other,—,55,(47),"(1,488)","(1,480)"
Other adjustments 2,66,(191),(14),—,(139)
Carrying amount in the statements of financial position,"1,332",650,617,386,"2,985"
Revenue,"3,863","2,011","4,465",676,"11,015"
Net income (loss),250,(44),197,(45),358
Other comprehensive income (loss),—,7,33,—,40
Total comprehensive income (loss),250,(37),230,(45),398
Cash dividends received by the Company,36,—,17,—,53
