0,1,2,3
Electricity,,,
Source: EEX,Germany Baseload spot average price € per MWh,France Baseload spot average price € per MWh,Belgium Baseload spot average price € per MWh
Q1 2021,49.57,53.02,50.94
Q2 2021,60.27,63.85,62.28
Q3 2021,97.15,96.42,97.28
Q4 2021,178.97,221.78,204.34
,,,
Q1 2022,184.62,232.19,208.02
Q2 2022,186.98,225.99,193.92
Q3 2022,375.75,429.73,372.27
Q4 2022,192.84,214.15,202.62
,,,
Q1 2023,115.80,130.33,127.40
Q2 2023,92.29,91.58,92.81
Q3 2023,90.78,85.71,87.14
Q4 2023,82.27,81.22,82.36
