0,1,2
Name of Subsidiary,Country,% of Ownership
NAFTA,,
ArcelorMittal Dofasco G.P.,Canada,100.00%
ArcelorMittal México S.A. de C.V.,Mexico,100.00%
ArcelorMittal Long Products Canada G.P.,Canada,100.00%
ArcelorMittal Texas HBI LLC,USA,80.00%
"Brazil and neighboring countries (""Brazil"")",,
ArcelorMittal Brasil S.A.,Brazil,97.08%
"Acindar Industria Argentina de Aceros S.A. (""Acindar"")",Argentina,100.00%
ArcelorMittal Pecém 1,Brazil,100.00%
Europe,,
ArcelorMittal France S.A.S.,France,100.00%
ArcelorMittal Belgium N.V.,Belgium,100.00%
ArcelorMittal España S.A.,Spain,99.85%
ArcelorMittal Flat Carbon Europe S.A.,Luxembourg,100.00%
ArcelorMittal Poland S.A.,Poland,100.00%
ArcelorMittal Eisenhüttenstadt GmbH,Germany,100.00%
ArcelorMittal Bremen GmbH,Germany,100.00%
ArcelorMittal Méditerranée S.A.S.,France,100.00%
ArcelorMittal Belval & Differdange S.A.,Luxembourg,100.00%
ArcelorMittal Hamburg GmbH,Germany,100.00%
ArcelorMittal Duisburg GmbH,Germany,100.00%
ArcelorMittal International Luxembourg S.A.,Luxembourg,100.00%
"Africa and Commonwealth of Independent States (""ACIS"")",,
"ArcelorMittal South Africa Ltd. (""AMSA"")",South Africa,69.22%
JSC ArcelorMittal Temirtau 3,Kazakhstan,—
"PJSC ArcelorMittal Kryvyi Rih (""AM Kryvyi Rih"")",Ukraine,95.13%
Mining,,
"ArcelorMittal Mining Canada G.P. and ArcelorMittal Infrastructure Canada G.P. (""AMMC"")",Canada,85.00%
ArcelorMittal Liberia Ltd2,Liberia,85.00%
