0,1,2
Name,Age,Position
Lakshmi N. Mittal1,73,Executive Chairman of ArcelorMittal
Aditya Mittal1,47,Chief Executive Officer of ArcelorMittal
Genuino Christino1,52,Chief Financial Officer of ArcelorMittal
Stefan Buys1,52,"Executive Vice President, CEO ArcelorMittal Mining"
Jefferson de Paula1,65,"Executive Vice President, CEO ArcelorMittal South America Long"
Geert Van Poelvoorde1,58,"Executive Vice President, CEO ArcelorMittal Europe"
John Brett1,58,"Executive Vice President, CEO ArcelorMittal North America"
Bradley Davey1,59,Executive Vice President and Head of Corporate Business Optimization
Vijay Goyal1,52,"Executive Vice President, CEO CIS"
Dilip Oommen1,65,"Executive Vice President, CEO AMNS India"
Stephanie Werner-Dietz1,51,"Executive Vice President, Head of HR"
