0,1,2,3,4,5,6,7,8,9
,"December 31, 2022",,,,,,,,
Summarized statements of cash flows,AMSA,Sonasid,AMKR,BBA,Hera Ermac,AMMC,Arceo,AM Liberia,ArcelorMittal Texas HBI LLC
Net cash provided by / (used in) operating activities,22,30,77,202,17,"1,159",6,154,125
Net cash provided by / (used in) investing activities,(69),(14),(73),(59),(11),432,6,(452),(133)
Net cash provided by / (used in) financing activities,5,(15),(20),(156),(6),"(1,601)",(3),300,—
Impact of currency movements on cash,(4),(11),(6),—,—,—,"(5)
:selected:",—,—
Cash and cash equivalents:,,,,,,,,,
At the beginning of the year,203,99,48,31,—,216,89,2,12
At the end of the year,157,89,26,18,—,206,93,4,4
Dividend to non-controlling interests,—,(10),—,"(71)
:selected:",—,(237),"(2)
:selected:",—,—
