0,1,2,3,4
,Notes,"Year ended December 31,",,
,,2023,2022,2021
Sales,4.1 and 12.1,"68,275","79,844","76,571"
"(including 8,825, 9,744 and 10,519 of sales to related parties for 2023, 2022 and 2021, respectively)",,,,
Cost of sales,4.2 and 12.2,"63,538","67,309","57,337"
"(including 2,049, 2,300 and 1,873 of purchases from related parties for 2023, 2022 and 2021, respectively)",,,,
Gross margin,,"4,737","12,535","19,234"
"Selling, general and administrative expenses",,"2,397","2,263","2,258"
Operating income,,"2,340","10,272","16,976"
"Income from investments in associates, joint ventures and other investments",2.6,"1,184","1,317","2,204"
"Impairment of investments in associates, joint ventures and other investments",2.4.4 and 2.6,"(1,405)",—,—
Financing costs - net,6.2,(859),(334),"(1,155)"
Income before taxes,,"1,260","11,255","18,025"
Income tax expense,10.1,238,"1,717","2,460"
Net income (including non-controlling interests),,"1,022","9,538","15,565"
Net income attributable to equity holders of the parent,,919,"9,302","14,956"
Net income attributable to non-controlling interests,,103,236,609
Net income (including non-controlling interests),,"1,022","9,538","15,565"
