0,1,2,3,4,5
BRAZIL,Country,Locations,Crude Steel,Type of plant,Products
Unit,,,Production in 2023 (in million tonnes per year) 1,,
Sol,Brazil,Vitoria,n/a,Coke-Making,Coke
ArcelorMittal Tubarão,Brazil,Vitoria,6.6,Integrated,Flat
ArcelorMittal Vega,Brazil,São Francisco do Sul,n/a,Downstream,Flat
ArcelorMittal Brasil,Brazil,João Monlevade,1.1,Integrated,Long/ Wire Rod
ArcelorMittal Brasil,Brazil,"Juiz de Fora, Piracicaba",1.9,Mini-mill,"Long/ Bar, Wire Rod"
ArcelorMittal Brasil,Brazil,"Barra Mansa, Resende",0.7,Mini-mill,"Long/Rebar, Wire rod, Bars, Sections, Wires"
ArcelorMittal Pecém 2,Brazil,Pecém,2.5,Integrated,Flat
Acindar,Argentina,Villa Constitucion,1.1,Mini-mill,"Long/ Wire Rod, Bar"
ArcelorMittal Costa Rica,Costa Rica,Costa Rica,n/a,Downstream,Long/ Wire Rod
Industrias Unicon,Venezuela,"Barquisimeto, Matanzas, La Victoria",n/a,Downstream,Pipes and Tubes
