0,1,2,3
,"December 31, 2023",,
,Canada,Brazil,Europe
Equity Securities,27 %,2 %,8 %
"- Asset classes that have a quoted market price in an active market
:unselected:",20 %,—,8 %
"- Asset classes that do not have a quoted market price in an active market
:unselected:",7 %,2 %,"—
:unselected:"
Fixed Income Securities (including cash),33 %,67 %,58 %
"- Asset classes that have a quoted market price in an active market
:unselected:",24 %,67 %,58 %
"- Asset classes that do not have a quoted market price in an active market
:unselected:",9 %,—,—
Real Estate,9 %,1 %,—
"- Asset classes that have a quoted market price in an active market
:unselected:",—,—,—
"- Asset classes that do not have a quoted market price in an active market
:unselected:",9 %,1 %,—
Other,31 %,30 %,34 %
- Asset classes that have a quoted market price in an active market,—,30 %,7 % '
"- Asset classes that do not have a quoted market price in an active market
:unselected:",31 %,—,27 % 1
Total,100 %,100 %,100 %
