0,1,2,3,4,5
,"Balance at December 31, 2021",Additions1,Deductions/ Payments,Effects of foreign exchange and other movements,"Balance at December 31, 2022"
Environmental,595,59,(61),(27),566
Emission obligations,492,477,(443),(4),522
Asset retirement obligations,397,22,(41),(29),349
Site restoration,220,—,(54),(14),152
Staff related obligations,120,40,(29),6 01,137
Voluntary separation plans,31,3,(18),7,23
Litigation and other (see note 9.3),323,53,(103),16,289
Tax claims,79,9,(24),9,73
Other legal claims,244,44,(79),7,216
Commercial agreements and onerous contracts,23,9,(4),—,28
Other,361,84,(124),20,341
,"2,562",747,(877),(25),"2,407"
Short-term provisions,"1,064",,,,"1,101"
Long-term provisions,"1,498",,,,"1,306"
,"2,562",,,,"2,407"
