0,1,2,3,4
,"Year ended December 31, 2022",,,
,Total,Canada,Europe,Others
Change in benefit obligation,,,,
Benefit obligation at beginning of the period,"1,190",661,423,106
Current service cost,37,11,21,5
Interest cost on DBO,30,19,5,6
Actuarial (gain) loss,(250),(163),(71),(16)
Demographic assumptions,1,—,—,1
Financial assumptions,(251),(155),(84),(12)
Experience adjustment,—,(8),13,(5)
Benefits paid,(71),(32),(32),(7)
Foreign currency exchange rate differences and other movements,(70),(41),(32),3
Benefit obligation at end of the period,866,455,314,97
Change in plan assets,,,,
Fair value of plan assets at beginning of the period,6,—,6,—
Return on plan assets less than discount rate,(1),—,(1),—
Fair value of plan assets at end of the period,5,—,5,—
Present value of the wholly or partly funded obligation,(20),—,(20),—
Fair value of plan assets,5,—,5,—
Net present value of the wholly or partly funded obligation,(15,—,(15),—
Present value of the unfunded obligation,(846,(455),(294),(97)
Net amount recognized,(861),(455),(309),(97)
