0,1,2,3,4,5
(Amounts in $ thousands),20231,20221,20211,20201,20191
Lakshmi N. Mittal,"1,536","1,529","1,700","1,374","1,569"
Aditya Mittal,"1,678","1,670","1,783","1,261",—
Vanisha Mittal Bhatia,175,169,176,186,171
Suzanne P. Nimocks,—,76,189,200,183
Bruno Lafont,96,277,302,306,280
Tye Burt,201,194,194,200,183
Karyn Ovelmen,269,201,221,223,204
Jeannot Krecké,—,—,—,78,171
Michel Wurth,188,181,181,186,171
Karel de Gucht,196,189,208,209,191
Etienne Schneider,196,189,197,118,—
Clarissa Lins,207,200,116,—,—
Patricia Barbizet,130,—,—,"—
:unselected:",—
Total,"4,872","4,875","5,267","4,341","3,123"
