0,1,2,3
NAFTA,,,
(in millions of USD unless otherwise shown),"Performance for the year ended December 31,",,
,2023,2022,2021
Sales,"12,978","13,774","12,530"
Depreciation,(535),(427),(325)
Operating income,"1,917","2,818","2,800"
Crude steel production (thousand tonnes),"8,727","8,271","8,487"
Flat product shipments,"8,220","7,121","6,879"
Long product shipments,"2,734","2,739","3,088"
Others and eliminations,(390),(274),(381)
Total steel shipments (thousand tonnes) *,"10,564","9,586","9,586"
Average steel selling price (USD/tonne),"1,024","1,215","1,128"
