0,1,2
,Year,Total
Grievances filed in court during the year,2023,"2,001"
,2022,"1,641"
,2021,"1,501"
Grievances filed internally during the year,2023,"9,693"
,2022,"9,064"
,2021,"4,279"
Grievances resolved by a court or external body during the year,2023,"3,925"
,2022,"1,494"
,2021,"1,822"
Of which decision of favor of the company,2023,788
,2022,544
,2021,571
Of which internal remediation with settlement agreement,2023,919
,2022,219
,2021,116
Of which conviction of the company,2023,"2,218"
,2022,731
,2021,"1,227"
