0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
Human rights in the supply chain,,
GRI 3: Material Topics 2021,3-3 Management of material topics,7.1.4 / 7.1.7 / 7.1.8 / 7.2.1.2 / 7.2.2 / Vigilance Plan
GRI 407: Freedom of association and collective bargaining,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,7.1.8 / 7.2.2 / Vigilance Plan
GRI 408: Child labor,408-1 Operations and suppliers at significant risk for incidents of child labor,7.1.8 / 7.2.2 / Vigilance Plan
GRI 409: Forced or compulsory labor,409-1 Operations and suppliers at significant risk for incidents of forced and compulsory labor,7.1.8 / 7.2.2 / Vigilance Plan
GRI 410: Security practices compulsory labor,410-1 Security personnel trained in human rights policies or procedures,3.1.5
GRI 411: Rights of indigenous peoples,411-1 Incidents of violations involving rights of indigenous peoples,3.1.7
GRI 412: Human rights assessment18,412-1 Operations that have been subject to human rights reviews or impact assessments,7.2.8
,412-2 Employee training on human rights policies or procedures,3.1.5 / 3.2.7 / 3.2.8 / 3.4.7 / 5.1.7 / 7.1.7.1 / 7.2.2.7 / Vigilance Plan
,412-3 Significant investment agreements and contracts that include human rights clauses or that,1.1.3 / 3.1.2 / 6.1.3 / 7.1.5 / 7.2.2.7
,underwent human rights screening,
GRI 414: Supplier social assessment,414-1 New suppliers that were screened using social criteria,7.1.5 / 7.1.7.3 / 7.2.2.7 / Vigilance Plan
,414-2 Negative social impacts in the supply chain and actions taken,7.1.7.3 / 7.1.8 / Vigilance Plan
Philanthropic actions to support communities,,
GRI 3: Material Topics 2021,3-3 Management of material topics,7.3.3 / 7.3.4 / 7.3.5 / 7.3.6 / 7.3.7
GRI 203: Indirect economic impacts,203-1 Infrastructure investments and services supported,7.3.6
,203-2 Significant indirect impacts,7.3.6
GRI 413: Local communities,"413-1 Operations with local community engagement, impact assessments and development programs",7.3.4 / 7.3.7
