0,1,2,3,4,5,6,7,8,9,10
,Year,Women,,,,Men,,,,Total
,,Blue collars,White collars,Top Management,Total,Blue collars,White collars,Top Management,Total,
Enlarged Europe,2023,"13,267","11,967",155,"25,389","69,555","36,838",506,"106,899","132,288"
,2022,"13,061","13,051",148,"26,260","72,088","40,162",495,"112,745","139,005"
,2021,,,,"28,094",,,,"122,713","150,807"
North America,2023,"15,590","4,267",84,"19,941","44,463","14,529",278,"59,270","79,211"
,2022,"16,958","4,004",72,"21,034","49,457","15,250",231,"64,938","85,972"
,2021,,,,"22,608",,,,"68,681","91,289"
South America,2023,"4,038","1,754",5,"5,797","17,661","4,783",42,"22,486","28,283"
,2022,"3,500","1,930",5,"5,435","18,301","5,195",35,"23,531","26,699"
,2021,,,,"4,818",,,,"24,534","29,352"
Middle East & Africa,2023,490,613,1,"1,104","3,372","1,198",5,"4,575","5,679"
,2022,418,697,1,"1,116","2,907","1,278",10,"4,195","5,311"
,2021,,,,"1,280",,,,"4,703","5,983"
China and India & Asia Pacific,2023,40,"1,133",8,"1,181",893,"3,384",23,"4,300","4,548"
,2022,22,"1,008",6,"1,036",546,"3,071",25,"3,642","4,678"
,2021,,,,964,,,,"3,200","4,164"
Total,2023,"33,425","19,734",253,"53,412","135,944","60,732",854,"197,530","250,942"
,2022,"33,959","20,690",232,"54,881","143,299","64,956",796,"209,051","263,932"
,2021,,,,"57,764",,,,"223,831","281,595"
