0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
"Health, safety and well-being in the workplace",,
GRI 3: Material Topics 2021,3-3 Management of material topics,3.4 / Vigilance Plan
GRI 403: Occupational health and safety,403-1 Occupational health and safety management system,3.4.4
,"403-2 Hazard identification, risk assessment, and incident investigation",3.4.6 / 3.4.7
,403-3 Occupational health services,3.4.6
,"403-4 Worker participation, consultation,and communication on occupational health and safety",3.4.5 / 3.4.6
,403-5 Worker training on occupational health and safety,3.4.6 / 3.4.7
,403-6 Promotion of worker health,3.4.5 / 3.4.7
,403-8 Workers covered by an occupational health and safety management system,3.4.4 / 3.4.5
,403-9 Work-related injuries,3.4.7 / 3.4.8
,403-10 Work-related ill health,3.4.8
Development of new mobility solutions (including autonomous vehicles),,
GRI 3: Material Topics 2021,3-3 Management of material topics,2.3.1.2 / 2.4.2 / 2.4.3 / 4.1 / Vigilance Plan
Vehicle and service quality - customer satisfaction,,
GRI 3: Material Topics 2021,3-3 Management of material topics,4.2
Vehicle Safety,,
GRI 3: Material Topics 2021,3-3 Management of material topics,4.3.1 / 4.3.3 / 4.3.5 / 4.3.7 / Vigilance Plan
GRI 416: Customer health and safety,416-1 Assessment of the health and safety impacts on product and service categories,4.3.6 / 4.3.7
,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,4.3.7
Ethics in governance and business practices,,
GRI 3: Material Topics 2021,3-3 Management of material topics,5.1 / Vigilance Plan
GRI 205: Anti-corruption,205-1 Operations assessed for risks related to corruption,5.1.6 / Section Risk management of the Annual Report 16
,205-2 Communications and training about anti-corruption policies and monopoly practices,3.2.6 / 5.1.4.1 / 7.1.5
,205-3 Confirmed incidents of corruption and actions taken,3.1.7
GRI 206: Anti-competitive behavior,"206-1 Legal actions for anti-competitive behavior, anti-trust and monopoly practices",Legal proceedings section of the Annual Report 16
GRI 415: Public policy,415-1 Political contributions,5.1.4.2
