0,1,2,3
Expected,Codification of the DPEF indicators,CSR Report (relevant sections),Degree of response22 Complete/Partial/Omission
d) Industrial relations,,,
"Organization of social dialogue, especially procedures for informing, consulting and negotiating with personnel",DPEF.8,3.1,
"Summary of labor agreements, in particular relating to workplace health and safety",DPEF.9,3.1.1 / 3.2.7 / 3.3.5 / 3.3.7,
e) Training,,,
"Training policies put into practice, specifically those relating to environmental protection expected",DPEF.10,Introduction 2 / 3.2.5 / 3.2.6 / 3.2.7 / 3.3.7 / 3.4.7 / 4.3.7 / 5.1.7 / 6.3.3.2 / 7.1.7.1,
Total number of hours of training,DPEF.11,3.2.8,
f) Non-discrimination,,,
Measures taken to ensure gender equality,DPEF.12,1.1.4 / 3.3.5 / 3.3.6 / 3.3.7 / 3.3.8,
Measures taken to ensure the hiring and integration of persons with disabilities,DPEF.13,3.3.5 / 3.3.6 / 3.3.7 / 3.3.8,
Anti-discrimination policy,DPEF.14,3.3.5 / 5.1.5.1 / 7.1.5 / 7.2.1.3 / 7.2.2.5,
