0,1,2,3
Thematic,TCFD recommendations,Relevant sections of this CSR Report,Status / Completion level
Governance (G),Ga. Describe the board's oversight of climate-related risks and opportunities.,2.4.1 / 2.4.3,
"Disclose the organization's governance around
climate-related risks and opportunities.",Gb. Describe management's role in assessing and managing climate-related risks and opportunities.,2.4.2 / 2.4.3,
"Strategy (S) Disclose the actual and potential impacts of climate-related risks and opportunities on the organization's businesses, strategy and financial planning where such information is material.","Sa. Describe the climate-related risks and opportunities the organization has identified over the short-, medium- and long-term.",2.3.1.2,
,"Sb. Describe the impact of climate-related risks and opportunities on the organization's businesses, strategy and financial planning.",2.3.1.2 Financial elements to be found in Taxonomy section of the Annual Report f 3,
,"Sc. Describe the resilience of the organization's strategy, taking into consideration different climate-related scenarios, including a 2ºC or lower scenario.",2.3.2,
"Risk management (R) Disclose how the organization identifies, assesses and manages climate-related risks.",Ra. Describe the organization's processes for identifying and assessing climate-related risks.,1.2.3 / 2.3.1.1 / 2.3.1.3 and Risk Management section of the Annual Report 3 :unselected:,
,Rb. Describe the organization's processes for managing climate-related risks.,1.2.3 / 2.3.1.1 / 2.3.1.3,
,"Rc. Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization's overall risk management.",1.2.3 / 2.3.1.1 / 2.3.1.3,
Metrics and targets (M) Disclose the metrics and targets used to assess and manage relevant climate-related risks and opportunities where such information is material.,Ma. Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,2.3.3 / 2.5.4 /2.6.4 / 2.7.4,
,"Mb. Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",2.3,
,Mc. Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,2.2,
