0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
Vehicle CO2 emissions,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2.5 / 2.5.1 / 2.5.2 / 2.5.3 / 2.5.4 / Vigilance Plan
GRI 302: Energy,302-2 Energy consumption outside the organization,2.3
,302-5 Reductions in energy requirements of products and services,2.5.3 / 2.5.3.2.3 / 2.5.3.2.4 / 2.5.3.3 / 2.5.3.4
GRI 305: Emissions,305-3 Other indirect (Scope 3) GHG emissions,2.5.4 / 2.7
,305-5 Reduction of GHG emissions,2.5.1 / 2.5.2.2
Industrial and sites carbon footprint,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2.6.1 / 2.6.2 / 2.6.3.2 / 2.6.3 / 2.6.4 / Vigilance Plan
GRI 302: Energy,302-1 Energy consumption within the organization,2.6.3.1 / 2.6.4.2
,302-3 Energy intensity,2.6.4.1
,302-4 Reduction of energy consumption,2.6.3.3 / 2.6.3.4
GRI 305: Emissions,305-1 Direct (scope 1) GHG emissions,2.6.3.1 / 2.6.4.1
,305-2 Energy indirect (scope 2) GHG emissions,2.6.3.1 / 2.6.4.1
,305-4 GHG emissions intensity,2.6.3.1
,305-5 Reduction of GHG emissions,2.6.3.2
Carbon footprint of the supply chain: purchasing and logistics,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2.7.1 / 2.7.2 / 7.1.4 / Vigilance Plan
GRI 302: Energy,302-2 Energy consumption outside of the organization,2.7.3 / 2.7.4
GRI 305: Emissions,305-3 Other indirect (scope 3) GHG emissions,2.7
,305-4 GHG emissions intensity,2.7.3 / 2.7.4
,305-5 Reduction of GHG emissions,2.7.3.2
GRI 308: Supplier environmental assessment,308-1 New suppliers that were screened using environmental criteria,7.1.7.3
,308-2 Negative environmental impacts in the supply chain and actions taken,2.7.3.2 / 7.1.8.1
