0,1
2.1 CONTEXT AND STELLANTIS POSITION,31
2.2 FORWARD-LOOKING CLIMATE VISION AND TARGETS,33
2.3 IDENTIFICATION AND MANAGEMENT OF CLIMATE RISKS AND OPPORTUNITIES,37
2.3.1 Facing reality as it is: climate-related risks and opportunities throughout the organization and across the value chain,39
2.3.2 Resilience strategy built with climate-related scenarios,43
2.3.3 Climate embedded into Business Planning via the use of an internal price of carbon,43
2.4 CLIMATE GOVERNANCE AND DECISION BODIES TO LEAD ACTIONS,44
2.4.1 Supervisory bodies: striving for long-term climate resilience,44
2.4.2 Executive bodies: putting climate responsibility as a central theme in executive decision-making,44
