0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
Responsible management of personal information,,
GRI 3: Material Topics 2021,3-3 Management of material topics,5.2
GRI 418: Customer privacy,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,5.2.7
GRI 3: Material Topics 2021,3-3 Management of material topics,4.3.1 / 4.3.3 / 4.3.5 / 4.3.7
GRI 416: Customer health and safety,416-1 Assessment of the health and safety impacts on product and service categories,4.3.6 / 4.3.7
,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,4.3.7
Responsible information to customers,,
GRI 3: Material Topics 2021,3-3 Management of material topics,5.3
GRI 417: Marketing and labelling,417-1 Requirements for product and service information and labelling,5.3.1 / 6.1.5
,417-2 Incidents of non-compliance concerning product and service information and labelling,5.3.2
,417-3 Incidents of non-compliance concerning marketing communications,5.3.2
Wise use of materials in the vehicle life cycle ( including product recycling),,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.1.1 / 6.1.2/ 6.1.3 / 6.1.5 / 6.1.7 / Vigilance Plan
GRI 301: Materials,301-1 Materials used by weight or volume,6.1.8
,301-2 Recycled input materials used,6.1.7.2
,301-3 Reclaimed products and their packaging materials,2.7.1 / 2.7.3.3 / 6.1.5 / 6.1.7 / 6.4.4
Vehicle impact on air quality,,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.2 / Vigilance Plan
Optimization of material cycles in manufacturing processes (including waste),,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.4.1 / 6.4.2 / 6.4.3 / 6.4.4.1 / 6.4.4.2.1 / 6.4.5
GRI 301: Materials,301-2 Recycled input materials used,6.1.7.2
GRI 306: Waste,306-1 Waste generation and significant waste-related impacts,6.4.1 / 6.4.3
,306-2 Management of significant waste related impacts,6.1.7 / 6.4.4
,306-3 Waste generated,6.4.5
,306-4 Waste diverted from disposal,6.4.4.2.1 / 6.4.4.2.2 / 6.4.5
,306 -5 Waste directed to disposal,6.4.4.1 / 6.4.5
