0,1,2,3,4,5,6
,Year,Enlarged Europe,North America,South America,Middle East & Africa,China and India & Asia Pacific Total
Contusion,2023,128,168,37,-,- 333
,2022,148,246,73,3,- 470
Laceration,2023,107,183,5,19,1 315
,2022,126,217,59,25,4 431
Strain & Sprain,2023,28,168,10,1,207 -
,2022,25,249,23,3,- 300
Fracture,2023,53,81,8,2,144
,2022,48,100,20,2,4 174
Foreign Body,2023,1,38,-,-,39 -
,2022,11,25,4,-,- 40
Crush,2023,7,7,3,-,- 17
,2022,17,12,5,1,9 44
Burn,2023,4,3,8,-,15 -
,2022,7,7,10,-,1 25
Other,2023,142,3,117,2,264
,2022,31,32,12,1,2 78
Undefined,2023,25,23,8,-,56 -
,2022,88,12,16,4,- 120
Total,2023,495,674,196,24,"1 1,390"
,2022,501,900,222,39,"20 1,682"
,2021,776,881,140,45,"7 1,849"
