0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,2.4.3 / 3.1.5 / 5.1.4.2 and Remuneration report section in the Annual Report & 14
,2-21 Annual total compensation ratio,Remuneration report section in the Annual Report :selected: 14
,2-22 Statement on sustainable development strategy,0.2 message from chairman and CEO
,2-23 Policy commitments,1.3 / 2.4.2
,2-24 Embedding policy commitments,2.5.1 / 2.6.1 / 2.7.1 / 3.1.5 / 3.2.5 / 3.3.5 / 3.4.5 / 4.1.5 / 4.2.5 / 4.3.5 / 5.1.5 / 5.2.5 / 5.3.5 / 6.1.5 / 6.2.5 / 6.3.2 / 7.1.5 / 7.2.2.5 / 7.3.5
,2-25 Processes to remediate negative impacts,3.1.7 / 7.2.7 / Vigilance Plan
,2-26 Mechanisms for seeking advice and raising concerns,5.1.5
,2-27 Compliance with laws and regulations,5.1 and Legal proceedings section of the Annual Report :selected: 14
,2-28 Membership associations,5.1.5 / 7.1.1 / 7.2.3 / 7.2.7
,2-29 Approach to stakeholder engagement,1.1.3
,2-30 Collective bargaining agreements,3.1.4 / 3.1.5
Economic performance,201-1 Direct economic value generated and distributed,1.1.4
,201-2 Financial implications and other risks and opportunities due to climate change,1.1.4
,201-3 Defined benefit plan obligations and other retirement plans,3.2.6 / 3.2.7 and Note 20. Employee benefits liabilities in the Annual Report 14
,201-4 Financial assistance received from government,1.1.4.6 and Government grants in Notes to the consolidated financial statements in the Annual Report 14
Indirect economic impacts,203-1 Infrastructure investments and services supported,1.1.4
,203-2 Significant indirect impacts,1.1.1 / 1.1.4
Local communities,413-2 Operations with significant actual and potential negative impacts on local communities,6.3 / 6.5 / 6.6 / Vigilance Plan
Socioeconomic compliance,419-1 Noncompliance with laws and regulations in the social and economic area,2.5.3.1 / 3.1.7 / 3.3.7 / 5.1.4.3 / 5.2.7 / 5.3.2 and Legal Proceedings section in the Annual Report :selected: 14
Material topics,,
GRI 3: Material Topics 2021,3-1 Process to determine material topics,1.2.2 / 1.2.3
,3-2 List of material topics,1.2.1
