0,1
4.1 DEVELOPMENT OF NEW MOBILITY SOLUTIONS (INCLUDING AUTONOMOUS VEHICLES),145
4.1.1 Context and Stellantis position,145
4.1.2 Forward-looking vision and targets,146
4.1.3 Identification and management of risks and opportunities,146
4.1.4 Governance and decision bodies to lead actions,148
4.1.5 Policies to execute the strategy,148
4.1.6 Organization and resources,149
"4.1.7 Main initiatives, achievements and results",152
4.2 VEHICLE AND SERVICE QUALITY - CUSTOMER SATISFACTION,157
4.2.1 Context and Stellantis position,157
4.2.2 Forward-looking vision and targets,158
4.2.3 Identification and management of risks and opportunities,158
4.2.4 Governance and decision bodies to lead actions,160
4.2.5 Policies to execute the strategy,161
4.2.6 Organization and resources,162
"4.2.7 Main initiatives, achievements and results",165
4.3 VEHICLE SAFETY,168
4.3.1 Context and Stellantis position,168
4.3.2 Forward-looking vision and targets,168
4.3.3 Identification and management of risks and opportunities,169
4.3.4 Governance and decision bodies to lead actions,169
4.3.5 Policies to execute the strategy,169
4.3.6 Organization and resources,170
"4.3.7 Main initiatives, achievements and results",171
