0,1,2,3,4,5,6,7
,Year,Enlarged Europe,North America,South America,Middle East & Africa China,and India & Asia Pacific,Total
Contusion,2023,14,-,-,-,1 15,
,2022,42,1,8,,51,
Laceration,2023,18,-,-,-,2 20,
,2022,28,4,,,1 33,
Sprain & Strain,2023,9,-,-,-,- 9,
,2022,5,1,,,6,
Burn,2023,1,-,-,-,- 1,
,2022,2,,,,2,
Foreign Body,2023,1,-,-,-,- 1,
,2022,1,,,,1,
Fracture,2023,8,-,-,- 2 10,,
,2022,3,,,,3,
Crush,2023,2,-,-,- - 2,,
,2022,,,,,1 1,
Undefined,2023,32,-,2,-,- 34,
,2022,26,,3,,29,
Total,2023,85,-,2,-,5 92,
,2022,107,6,11,-,2 126,
