0,1
3.1 MANAGEMENT OF COMPANY TRANSFORMATIONS AND SOCIAL DIALOGUE,80
3.1.1 Context and Stellantis position,80
3.1.2 Forward-looking vision and targets,81
3.1.3 Identification and management of risks and opportunities,82
3.1.4 Governance and decision bodies to lead actions,83
3.1.5 Policies to execute the strategy,84
3.1.6 Organization and resources,85
"3.1.7 Main initiatives, achievements and results",87
3.1.8 Detailed key performance indicators,91
3.2 ATTRACTING AND DEVELOPING ALL TALENT,99
3.2.1 Context and Stellantis position,99
3.2.2 Forward-looking vision and targets,99
3.2.3 Identification and management of risks and opportunities,100
3.2.4 Governance and decision bodies to lead actions,100
3.2.5 Policies to execute the strategy,100
3.2.6 Organization and resources,102
"3.2.7 Main initiatives, achievements and results",102
3.2.8 Detailed key performance indicators,107
