0,1,2
Function Or Region,Country,Association
Enlarged Europe,France,Charging Interface Initiative - CharlN. PSA Membership
,,AVERE (European Association for Electromobility)
,,CIROQUO
,,SIA (Société des Ingénieurs de l'Automobile) - Cotisation
,,CNPA (Conseil National des Professions de l'Automobile)
,,GALIA
,Germany,NAFEMS (National Agency for Finite Element Methods and Standards)
,,VDA - GTB Umlage
,,Stifterverband für die deutsche Wirtschaft / VDA - Umlage für Stifterverband (Belegschaftsumlage)
,,VDA - IW-Umweltinstitut
,,VDA - Logistik-Umlage
,,VDA - Jahresumlage Finanzierung Fachbereich Aftersales
,,WVM (WirtschaftsVereinigung Metalle)
,,VDA - Schülerlotsendienst
,,Charging Interface Initiative - CharlN. OP V Membership
,,VDIK (Verband der Internationalen Kraftfahrzeughersteller)
,,"Verband der Automobilindustrie e. V. (VDA), 10117 Berlin"
,Hungary,MAGE (ACEA) (Magyar Gépjárműipari Egyesület)
,Italy,CEI
,,IGLAD-Initiative for the Global harmonisation of Accident Data
,,Cluster Lucano Automotive
,,AIM Associazione Italiana Metallurgia
,,UNI Ente Nazionale Unificazione
,,ANFIA AUTOMOTIVE
,,CCAM
,,İNEMI
,,ERTRAC-European Road Transport Advisory Council
,,IAM-Innovazione Automotive Metalmeccanica Abruzzo (split btw all areas)
,,European Automobile Manufactures Association (EUCAR)
,,Centro Nazionale di Mobilità
,,ANFIA (ACEA) (Associazione Nazionale Filiera Industria Automobilistica)
