0,1,2
GRI STANDARD,DISCLOSURE,LOCATION
Control of industrial discharges and nuisances,,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.5 / Vigilance Plan
GRI 305: Emissions,305-6 Emissions of ozone-depleting substances (ODS),6.5.4.1 / 6.5.5
,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx) and other significant air emissions",6.5.4.1 / 6.5.5
Sustainable water management in manufacturing,,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.6.1 / 6.6.2 / 6.6.3 / 6.6.4.1
GRI 303: Water and effluents,303-1 Interactions with water as a shared resource,6.6.4.1 / 6.6.5
,303-2 Management of water discharge-related impacts,6.6.4.1
,303-3 Water withdrawal,6.6.1 / 6.6.4.1 / 6.6.5.1 / 6.6.5.4
,303-4 Water discharge,6.6.1 / 6.6.4.1 / 6.6.5
,303-5 Water consumption,6.6.1 / 6.6.4.1 / 6.6.5.3
Protection of biodiversity,,
GRI 3: Material Topics 2021,3-3 Management of material topics,6.7.1 / 6.7.2 / 6.7.3 / 6.7.4
GRI 304: Biodiversity,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas, and areas of high biodiversity value outside protected areas",6.7.5.1
,"304-2 Significant impacts of activities, products, and services on biodiversity",6.7.4 / 6.7.5
,304-3 Habitats protected or restored,6.7.4.1 / 6.7.5
Responsible purchasing practices (including local sourcing development) to support the Company's development in host territories,,
GRI 3: Material Topics 2021,3-3 Management of material topics,7.1 / 7.2 / Vigilance Plan
GRI 412: Human rights assessment17,412-3 Significant investment agreements and contracts that include human rights clauses or that,7.1.5 / 7.1.7
,underwent human rights screening,
GRI 414: Supplier social assessment,414-1 New supplier that were screened using social criteria,7.1.5 / 7.1.7.3
,414-2 Negative social impacts in the supply chain and actions taken,7.1.7.3 / 7.1.8 / 7.2.6 / 7.2.8 / Vigilance Plan
GRI 204: Procurement practices,204-1 Proportion of spending on local suppliers,7.1.8
