0,1
"3.3 DIVERSITY, INCLUSION AND EQUAL OPPORTUNITY",115
3.3.1 Context and Stellantis position,115
3.3.2 Forward-looking vision and targets,116
3.3.3 Identification and management of risks and opportunities,116
3.3.4 Governance and decision bodies to lead actions,117
3.3.5 Policies to execute the strategy,117
3.3.6 Organization and resources,118
"3.3.7 Main initiatives, achievements and results",118
3.3.8 Detailed key performance indicators,123
"3.4 HEALTH, SAFETY AND WELLBEING IN THE WORKPLACE",129
3.4.1 Context and Stellantis position,129
3.4.2 Forward-looking vision and targets,129
3.4.3 Identification and management of risks and opportunities,129
3.4.4 Governance and decision bodies to lead actions,130
3.4.5 Policies to execute the strategy,131
3.4.6 Organization and resources,131
"3.4.7 Main initiatives, achievements and results",133
3.4.8 Detailed key performance indicators,137
