0,1,2
GRI STANDARD DISCLOSURE,,LOCATION
Management of Company transformations and social dialogue,,
GRI 3: Material Topics 2021 3-3 Management of material topics,,3.1 / Vigilance Plan
GRI 401: Employment,401-1 New employee hires and employee turnover,3.1.7 / 3.1.8 / 3.2.3
GRI 402: Labor management relations 402-1 Minimum notice periods regarding operational changes,,3.1.4
GRI 407: Freedom of association and collective bargaining,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,7.1.8.1 / 7.2.2.7 / Vigilance Plan
GRI 412: Human rights assessment 15,412-1 Operations that have been subject to human rights reviews or impact assessments,3.1.5 / 3.1.7 3.3.5 / 3.3.7 / 7.1 / 7.2 / Vigilance Plan
,412-2 Employees training on human rights policies or procedures,3.2.7 / 3.2.8 / 7.1.7.1 / 7.2.2.7 / Vigilance Plan
GRI 413: Local Communities,"413-1 Operations with local community engagement, impact assessments, and development programs",3.1.4 / 3.4.4 / 7.3.4 / 7.3.7
Attracting and developing all talents,,
GRI 3: Material Topics 2021,3-3 Management of material topics,3.2
GRI 202: Market presence,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,3.2.8
,202-2 Proportion of senior management hired from the local community,global data available in 3.3.8
GRI 401: Employment,401-1 New employee hires and employee turnover,3.1.7 / 3.1.8 / 3.2.3
,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,3.1.7
GRI 404: Training and education,404-1 Average hours of training per year per employee,3.2.6
,404-2 Programs for upgrading employee skills and transition assistance programs,3.2.7
,404-3 Percentage of employees receiving regular performance and career development reviews,3.2.7
Diversity and equal opportunity,,
GRI 3: Material Topics 2021 3-3 Management of material topics,,3.3 / Vigilance Plan
GRI 401: Employment,401-3 Parental leave,3.3.7
GRI 405: Diversity and equal opportunity,405-1 Diversity of governance bodies and employees,3.3.7 / 3.3.8
,405-2 Ratio of basic salary and remuneration of women to men,3.2.8 / 3.3.8 / 5.1.3.1
GRI 406: Non- discrimination 406-1 Incidents of discrimination and corrective actions taken,,3.3.7
