0,1,2
2-26,Mechanisms for seeking advice and raising concerns,Code of Conduct
2-27,Compliance with laws and regulations,"Form 10-K, Note 22"
5. Stakeholder Engagement,,
2-29,Approach to stakeholder engagement,"Our stakeholders include customers, suppliers, employees, our parent company and regulars. Stakeholders are selected based upon their interest in Novelis' activities and their influence on Novelis' business activities. We regularly engage with stakeholders through a variety of mechanisms including, but not limited to, customer meetings and business reviews, meetings with regulators, community engagement events and employee surveys"
2-30,Collective bargaining agreements,"See Novelis' 2023 Form 10-K, page 17"
GRI 3: Material Topics 2021,,
Disclosure #,GRI Disclosure Title,2023 Direct Response or Location
3-1,Process to determine material topics,"By incorporating feedback from our most senior managers and representatives of key stakeholder groups, we identified key issues and determined which topics were most critical to address."
3-2,List of material topics,See materiality chart page 53
GRI 203: Indirect economic impacts,,
203-1,Infrastructure investments and services supported,See page 22
GRI 204: Procurement policies,,
204-1,Proportion of spending on local suppliers,The majority of materials we use in our recycling operations are sourced locally to the operations. See page 33
GRI 205: Anti-corruption,,
205-2,Communication and training about anti-corruption policies and procedures,Novelis' Code of Conduct and other corporate governance documents are available online at https://www.novelis.com/certifications/ and https://www.novelis.com/suppliers/
